colour,lat,long,date,neighbourhood
#020101,49.280563,-123.109177,Wednesday_Feb_18_2015,Gastown
#0A0509,49.279422,-123.098447,Wednesday_Feb_18_2015,Chinatown
#0E0206,49.284153,-123.097755,Wednesday_Feb_18_2015,Chinatown
#E5DEDB,49.282324,-123.104399,Wednesday_Feb_18_2015,Gastown
#7D6C78,49.266762,-123.105797,Wednesday_Feb_18_2015,False Creek
#21241E,49.279551,-123.103416,Wednesday_Feb_18_2015,Chinatown
#CBC6E6,49.280414,-123.126281,Wednesday_Feb_18_2015,Yaletown
#E4DFE3,49.267021,-123.113693,Wednesday_Feb_18_2015,False Creek
#5D9884,49.286057,-123.125267,Wednesday_Feb_18_2015,Robson Street
#070304,49.279259,-123.101677,Wednesday_Feb_18_2015,Chinatown
#110C0C,49.284170,-123.114225,Wednesday_Feb_18_2015,Gastown
#070F08,49.271856,-123.135008,Wednesday_Feb_18_2015,Granville Island
#0A0A04,49.277261,-123.125071,Wednesday_Feb_18_2015,Yaletown
#8E7896,49.286477,-123.118190,Wednesday_Feb_18_2015,Coal Harbor
#DDE0EC,49.269400,-123.123800,Wednesday_Feb_18_2015,False Creek
#1D0B11,49.254456,-123.080432,Wednesday_Feb_18_2015,Kensington-Cedar Cottage
#050404,49.274712,-123.069939,Wednesday_Feb_18_2015,Commercial
#CD55AC,49.275960,-123.121640,Wednesday_Feb_18_2015,Yaletown
#030806,49.225875,-123.116311,Wednesday_Feb_18_2015,Oakridge
#050E11,49.304062,-123.156487,Wednesday_Feb_18_2015,Stanley Park
#050805,49.283108,-123.118874,Wednesday_Feb_18_2015,Chinatown
#050305,49.262909,-123.115303,Wednesday_Feb_18_2015,Fairview
#5C9472,49.293286,-123.139987,Wednesday_Feb_18_2015,West End
#050203,49.280563,-123.109177,Wednesday_Feb_18_2015,Gastown
#D0E7DA,49.284311,-123.143344,Wednesday_Feb_18_2015,West End
#948791,49.270931,-123.115402,Wednesday_Feb_18_2015,False Creek
#010101,49.289923,-123.126048,Wednesday_Feb_18_2015,Robson Street
#FEFFFF,49.290437,-123.121587,Wednesday_Feb_18_2015,Robson Street
#030202,49.281804,-123.106025,Wednesday_Feb_18_2015,Gastown
#5A0322,49.281069,-123.125186,Wednesday_Feb_18_2015,Yaletown
#7D6A79,49.277786,-123.098450,Wednesday_Feb_18_2015,Chinatown
#13070A,49.277920,-123.121169,Wednesday_Feb_18_2015,Yaletown
#6C676D,49.287682,-123.115173,Wednesday_Feb_18_2015,Gastown
#F1EBEF,49.282501,-123.109139,Wednesday_Feb_18_2015,Gastown
#010101,49.276097,-123.119497,Wednesday_Feb_18_2015,Yaletown
#F2F5F3,49.273353,-123.103411,Wednesday_Feb_18_2015,False Creek
#100B04,49.264410,-123.105300,Wednesday_Feb_18_2015,Mount Pleasant
#29131B,49.286675,-123.143220,Wednesday_Feb_18_2015,West End
#CECFCF,49.285359,-123.113844,Wednesday_Feb_18_2015,Gastown
#020101,49.276809,-123.112154,Wednesday_Feb_18_2015,Chinatown
#120E0C,49.300000,-123.140000,Wednesday_Feb_18_2015,Stanley Park
#010501,49.285610,-123.111954,Wednesday_Feb_18_2015,Gastown
#17281B,49.272005,-123.114896,Wednesday_Feb_18_2015,Yaletown
#040304,49.284599,-123.108887,Wednesday_Feb_18_2015,Gastown
#E2E1E1,49.284111,-123.111565,Wednesday_Feb_18_2015,Gastown
#110309,49.279281,-123.109000,Wednesday_Feb_18_2015,Gastown
#FAFEFD,49.280414,-123.126281,Wednesday_Feb_18_2015,Yaletown
#090002,49.284599,-123.108887,Wednesday_Feb_18_2015,Gastown
#010101,49.277736,-123.115903,Wednesday_Feb_18_2015,Yaletown
#F3F4F5,49.274550,-123.121900,Wednesday_Feb_18_2015,Yaletown
#F5F4F9,49.287399,-123.125815,Wednesday_Feb_18_2015,Robson Street
#B57C9A,49.285378,-123.127527,Wednesday_Feb_18_2015,Robson Street
#0E0608,49.280266,-123.101196,Wednesday_Feb_18_2015,Chinatown
#689B8A,49.286057,-123.125267,Wednesday_Feb_18_2015,Robson Street
#EEF4F3,49.271580,-123.106979,Wednesday_Feb_18_2015,False Creek
#E6B9D7,49.282503,-123.112285,Wednesday_Feb_18_2015,Gastown
#100609,49.271856,-123.135008,Wednesday_Feb_18_2015,Granville Island
#769B83,49.276668,-123.115097,Wednesday_Feb_18_2015,Yaletown
#C1CDC6,49.300000,-123.140000,Wednesday_Feb_18_2015,Stanley Park
#040403,49.274345,-123.118765,Wednesday_Feb_18_2015,Yaletown
#DFDCDC,49.282918,-123.107474,Wednesday_Feb_18_2015,Gastown
#120B0C,49.287682,-123.115173,Wednesday_Feb_18_2015,Gastown
#181D0F,49.233035,-123.130934,Wednesday_Feb_18_2015,Oakridge
#60625F,49.265514,-123.106755,Wednesday_Feb_18_2015,Mount Pleasant
#0A0F0E,49.250000,-123.100000,Wednesday_Feb_18_2015,Main Street
#D96598,49.268176,-123.154672,Wednesday_Feb_18_2015,Kitsilano
#F8F5F8,49.265272,-123.091555,Wednesday_Feb_18_2015,Main Street
