colour,lat,long,date,neighbourhood
#030102,49.274345,-123.118765,048_TueFeb17,Yaletown
#ECECEC,49.278664,-123.099243,048_TueFeb17,Chinatown
#030101,49.285216,-123.125747,048_TueFeb17,Robson Street
#F8E8F1,49.278038,-123.109234,048_TueFeb17,Chinatown
#1E0D10,49.264019,-123.105309,048_TueFeb17,Mount Pleasant
#010101,49.269191,-123.136786,048_TueFeb17,Granville Island
#F1DFEF,49.275723,-123.128128,048_TueFeb17,Yaletown
#010101,49.144430,-123.177105,048_TueFeb17,Blundell
#001601,49.286944,-123.112500,048_TueFeb17,Gastown
#11070A,49.250530,-123.100601,048_TueFeb17,Main Street
#B57D8F,49.274067,-123.100618,048_TueFeb17,Strathcona
#EFF1F1,49.273220,-123.101820,048_TueFeb17,False Creek
#10120A,49.250000,-123.100000,048_TueFeb17,Main Street
#140505,49.280567,-123.102707,048_TueFeb17,Chinatown
#FDFDFC,49.250000,-123.100000,048_TueFeb17,Main Street
#59595A,49.276173,-123.079216,048_TueFeb17,Strathcona
#070502,49.286259,-123.131149,048_TueFeb17,Robson Street
#020101,49.244444,-123.125556,048_TueFeb17,South Cambie
#1B181A,49.250000,-123.100000,048_TueFeb17,Main Street
#130A0A,49.279519,-123.115608,048_TueFeb17,Yaletown
#030404,49.262176,-123.077882,048_TueFeb17,Mount Pleasant
#FDFAFC,49.242222,-123.115000,048_TueFeb17,South Cambie
#030202,49.287842,-123.116341,048_TueFeb17,Coal Harbor
#E568AF,49.283588,-123.113770,048_TueFeb17,Gastown
#090406,49.276670,-123.121680,048_TueFeb17,Yaletown
#B5ABB2,49.262940,-123.117279,048_TueFeb17,Fairview
#D2CBD6,49.242222,-123.115000,048_TueFeb17,South Cambie
#020101,49.250000,-123.100000,048_TueFeb17,Main Street
#0F0F0F,49.278664,-123.099243,048_TueFeb17,Chinatown
#08180E,49.287894,-123.120479,048_TueFeb17,Robson Street
#E2D1E1,49.287765,-123.118564,048_TueFeb17,Coal Harbor
#040102,49.280404,-123.121227,048_TueFeb17,Yaletown
#1A090C,49.278350,-123.120178,048_TueFeb17,Yaletown
#0A894D,49.291720,-123.138570,048_TueFeb17,West End
#248C4B,49.293286,-123.139987,048_TueFeb17,West End
#0B0605,49.276097,-123.119497,048_TueFeb17,Yaletown
#020202,49.290437,-123.121587,048_TueFeb17,Robson Street
#F4F4F4,49.279408,-123.119004,048_TueFeb17,Yaletown
#0D0909,49.275464,-123.128106,048_TueFeb17,Yaletown
#FEFEFE,49.287224,-123.113916,048_TueFeb17,Gastown
#050A01,49.242044,-123.103849,048_TueFeb17,Riley Park
#7BB49B,49.237608,-123.074789,048_TueFeb17,Kensington-Cedar Cottage
#766F8B,49.242222,-123.115000,048_TueFeb17,South Cambie
#738282,49.291466,-123.127777,048_TueFeb17,Coal Harbor
#5E2361,49.280248,-123.114811,048_TueFeb17,Yaletown
#AF0F57,49.278652,-123.098618,048_TueFeb17,Chinatown
#110C12,49.278042,-123.121225,048_TueFeb17,Yaletown
#CAD0D3,49.283691,-123.103455,048_TueFeb17,Gastown
#FBFAFB,49.281067,-123.102051,048_TueFeb17,Gastown
#060604,49.282589,-123.102959,048_TueFeb17,Gastown
#AFB5B2,49.288590,-123.131235,048_TueFeb17,Robson Street
#0D0B09,49.263531,-123.154121,048_TueFeb17,Arbutus
#120607,49.288311,-123.116730,048_TueFeb17,Coal Harbor
#542240,49.274299,-123.154333,048_TueFeb17,Kitsilano
#100809,49.266667,-123.166667,048_TueFeb17,Kitsilano
#120805,49.284016,-123.114159,048_TueFeb17,Gastown
#D5B7C7,49.265896,-123.114395,048_TueFeb17,Mount Pleasant
#020202,49.269908,-123.153351,048_TueFeb17,Kitsilano
#E0AEC1,49.265896,-123.114395,048_TueFeb17,Mount Pleasant
#0E0307,49.283218,-123.122360,048_TueFeb17,Robson Street
#060303,49.271856,-123.135008,048_TueFeb17,Granville Island
#030203,49.252973,-123.084653,048_TueFeb17,Kensington-Cedar Cottage
#010101,49.277736,-123.115903,048_TueFeb17,Yaletown
#28A85B,49.254695,-123.094560,048_TueFeb17,Main Street
#180907,49.288694,-123.138279,048_TueFeb17,West End
#070606,49.266667,-123.166667,048_TueFeb17,Kitsilano
#A19C75,49.279011,-123.114670,048_TueFeb17,Yaletown
#E3D6DD,49.268053,-123.143285,048_TueFeb17,Fairview
#230911,49.275833,-123.117943,048_TueFeb17,Yaletown
#020001,49.275795,-123.121590,048_TueFeb17,Yaletown
#010201,49.273071,-123.157333,048_TueFeb17,Kitsilano
#191819,49.284377,-123.093367,048_TueFeb17,Chinatown
#7BB095,49.300000,-123.140000,048_TueFeb17,Stanley Park
#CFAEB7,49.275795,-123.121590,048_TueFeb17,Yaletown
#040302,49.264817,-123.077504,048_TueFeb17,Grandview-Woodland
#070506,49.300000,-123.140000,048_TueFeb17,Stanley Park
#060401,49.259004,-123.114510,048_TueFeb17,Mount Pleasant
#120804,49.283771,-123.113592,048_TueFeb17,Gastown
#1D1D1C,49.250000,-123.100000,048_TueFeb17,Main Street
#1B1217,49.262348,-123.101410,048_TueFeb17,Main Street
#0C0E0F,49.224760,-123.107897,048_TueFeb17,Oakridge
#C3C3C3,49.282126,-123.108160,048_TueFeb17,Gastown
#040203,49.275488,-123.125892,048_TueFeb17,Yaletown
#060506,49.289711,-123.116074,048_TueFeb17,Coal Harbor
#D0D0CE,49.276097,-123.119497,048_TueFeb17,Yaletown
#030303,49.293240,-123.140152,048_TueFeb17,West End
#000301,49.278038,-123.109234,048_TueFeb17,Chinatown
#010102,49.236974,-123.025635,048_TueFeb17,Collingwood
#050E09,49.290437,-123.121587,048_TueFeb17,Robson Street
#C1ACCE,49.267881,-123.112118,048_TueFeb17,False Creek
#F1F1F1,49.265746,-123.100333,048_TueFeb17,Main Street
#040303,49.287029,-123.115623,048_TueFeb17,Gastown
#100A12,49.277778,-123.143333,048_TueFeb17,West End
#010301,49.290436,-123.141110,048_TueFeb17,West End
#151B1F,49.273071,-123.157333,048_TueFeb17,Kitsilano
#020202,49.278408,-123.118713,048_TueFeb17,Yaletown
#720316,49.243628,-123.124833,048_TueFeb17,South Cambie
#DFD8DD,49.280404,-123.121227,048_TueFeb17,Yaletown
#020303,49.284572,-123.124657,048_TueFeb17,Robson Street
#6E9693,49.283567,-123.138231,048_TueFeb17,West End
#050704,49.278038,-123.109234,048_TueFeb17,Chinatown
#040302,49.278038,-123.109234,048_TueFeb17,Chinatown
#030101,49.264102,-123.118119,048_TueFeb17,Fairview
#1FB24E,49.286675,-123.143220,048_TueFeb17,West End
#848B80,49.278366,-123.118240,048_TueFeb17,Yaletown
#53A677,49.263847,-123.100723,048_TueFeb17,Main Street
#020101,49.272647,-123.154595,048_TueFeb17,Kitsilano
#CE5D99,49.266361,-123.138596,048_TueFeb17,Fairview
#050102,49.284661,-123.112716,048_TueFeb17,Gastown
#D2D2D2,49.278664,-123.099243,048_TueFeb17,Chinatown
#E9E1E1,49.234617,-123.157637,048_TueFeb17,Kerrisdale
#881654,49.278557,-123.107664,048_TueFeb17,Chinatown
#FAFCFB,49.283085,-123.121164,048_TueFeb17,Robson Street
#010301,49.254456,-123.080432,048_TueFeb17,Kensington-Cedar Cottage
#CFE5CD,49.300000,-123.140000,048_TueFeb17,Stanley Park
#FBF5F9,49.275173,-123.120865,048_TueFeb17,Yaletown
#010201,49.276898,-123.116822,048_TueFeb17,Yaletown
#171412,49.243774,-123.107234,048_TueFeb17,Riley Park
#E5E0E3,49.276134,-123.121269,048_TueFeb17,Yaletown
#CDCDCC,49.276097,-123.119497,048_TueFeb17,Yaletown
#E6E8E7,49.278606,-123.115820,048_TueFeb17,Yaletown
#030101,49.272414,-123.110831,048_TueFeb17,False Creek
#11050B,49.257740,-123.100830,048_TueFeb17,Main Street
#020404,49.264019,-123.105309,048_TueFeb17,Mount Pleasant
#030402,49.287029,-123.115623,048_TueFeb17,Gastown
#08442D,49.282501,-123.107964,048_TueFeb17,Gastown
#F7F5F9,49.275470,-123.136643,048_TueFeb17,Granville Island
#C3C4B9,49.271601,-123.069718,048_TueFeb17,Commercial
#632C42,49.263680,-123.114548,048_TueFeb17,Mount Pleasant
#22191B,49.258939,-123.100895,048_TueFeb17,Main Street
